FID,ogc_fid,fcode,nam,na2,ctu,tdi,tsi,registro,num_atr,provincia,canton,parroquia,nombre,categoria,tipo,subtipo,jerarquia,pdf,desc_,desc2,desc3,lat,lon,img,geometry,DPA_PARROQ,DPA_CANTON,DPA_PROVIN
atractivos_tur.57,57,AX004,fichas/0057.pdf,COMUNIDAD SHIRIPUNO,998,998,2,1,57,NAPO,TENA,PUERTO MISAHUALLI,COMUNIDAD SHIRIPUNO,MANIFESTACIONES CULTURALES,ACERVO CULTURAL Y POPULAR,PUEBLO Y/O NACIONALIDAD (ETNOGRAFÍA),III,fichas/0057.pdf,"Shiripuno es un pueblo que se sitúa en la Amazonia de Ecuador, en la orilla oeste del Rió Napo y a 2 km de Puerto Misahualli.",La comunidad de Shiripuno se compone de 151 habitantes muy amables. Es una comunidad manejada por mujeres mediante una asamblea. Cuenta con actividades tanto culturales y en el medio natural.,Cuentan con servicio de alojamiento y alimentación.,-1.041885,-77.657391,img_fichas/0057.jpg,POINT (872100.0273161442 9884642.741646977),150155,1501  ,15
atractivos_tur.58,58,AX004,fichas/0058.pdf,BOULEVARD 24 DE MAYO,998,998,2,1,58,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,CENTRO HISTÓRICO,BOULEVARD 24 DE MAYO,MANIFESTACIONES CULTURALES,ARQUITECTURA,ESPACIO PÚBLICO,II,fichas/0058.pdf,"El Boulevard 24 de Mayo se ubica en el cantón Quito, provincia de Pichincha. Antiguamente la constituía la quebrada de los Gallinazos, más se la rellenó y se construyó la avenida 24 de Mayo. Por largo","tiempo quedó en el olvido convirtiéndose en un espacio inseguro. Para el 2009 se inicia la última fase de recuperación dando paso a lo que hoy se ha convertido, un espacio de cultura y de distracción",.,-0.224,-78.51527,img_fichas/0058.jpg,POINT (776573.4262108682 9975217.811602233),170150,1701  ,17
atractivos_tur.60,60,AX004,fichas/0060.pdf,PLAZA SANTA CLARA,998,998,2,1,60,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,CENTRO HISTÓRICO,PLAZA SANTA CLARA,MANIFESTACIONES CULTURALES,ARQUITECTURA,ESPACIO PÚBLICO,II,fichas/0060.pdf,"La plaza se localiza en el cantón Quito, provincia de Pichincha, entre las calles Rocafuerte, Cuenca y Benalcázar. La gran fachada de la iglesia del monasterio de las Clarisas, adorna la plaza. Su ent",orno se ha convertido en un punto estratégico comercial y de tradiciones ancestrales como son las limpias y de las yerbateras. Actualmente la plaza se encuentra cerrada por las obras del Metro de Quit,o.,-0.222,-78.515943,img_fichas/0060.jpg,POINT (776498.50516145 9975439.093761206),170150,1701  ,17
atractivos_tur.59,59,AX004,fichas/0059.pdf,MONUMENTO A LA INDEPENDENCIA,998,998,2,1,59,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,CENTRO HISTÓRICO,MONUMENTO A LA INDEPENDENCIA,MANIFESTACIONES CULTURALES,ARQUITECTURA,MONUMENTOS,III,fichas/0059.pdf,"El monumento de la Independencia ubicado en la Plaza Grande del cantón Quito, provincia de Pichincha, constituye el punto céntrico de la ciudad capital. El monumento es en honor a los próceres del 10","de Agosto de 1809, que impulsaron el Primer Grito de la Independencia. Visto como un elemento turístico, es visitado por nacionales y extranjeros para tomarse la foto de rigor, y los guías ofrecen una",explicación de su simbolismo.,-0.22,-78.512106,img_fichas/0059.jpg,POINT (776925.9059996961 9975660.291960442),170150,1701  ,17
atractivos_tur.61,61,AX004,fichas/0061.pdf,IGLESIA CENTRAL DEL TOCACHI,998,998,2,1,61,PICHINCHA,PEDRO MONCAYO,TOCACHI,IGLESIA CENTRAL DEL TOCACHI,MANIFESTACIONES CULTURALES,ARQUITECTURA,HISTÓRICA / VERNÁCULA,III,fichas/0061.pdf,"Este santuario ubicado en el cantón Pedro Moncayo, provincia de Pichincha, fue construido en 1914, por la gestión del padre lazarista Pedro Brunning, que también diseño los planos, teniendo como  imág","enes y santos que adornan su altar, algunos de ellos fueron realizados por renombrados artistas de la Escuela Quiteña como: Caspicara y Legarda. En 1996, en las afueras de la iglesia fue construida un","a Gruta en honor a la Niña Maria, piedra que posee en alto relieve la imagen de la Virgen Santisima.",0.045,-78.288002,img_fichas/0061.jpg,POINT (801890.8940315333 10004979.466749702),170453,1704  ,17
atractivos_tur.62,62,AX004,fichas/0062.pdf,IGLESIA DE MALCHINGUÍ,998,998,2,1,62,PICHINCHA,PEDRO MONCAYO,MALCHINGUI,IGLESIA DE MALCHINGUÍ,MANIFESTACIONES CULTURALES,ARQUITECTURA,HISTÓRICA / VERNÁCULA,III,fichas/0062.pdf,"La Iglesia de Malchinguí, ubicada en el cantón Pedro Moncayo, provincia de Pichincha, fue construida en 1923. Probablemente, de un estilo arquitectónico Historicista, conserva en sus paredes una decoración sencilla.","En las cuales destacan las representaciones de la Vírgen María, y de San José. Es un inmueble que ha sido restaurado por la Curia del Lugar","en diferentes ocaciones, con el paso del tiempo se ha convertido en un atractivo turístico del poblado de Malchinguí",0.058,-78.339397,img_fichas/0062.jpg,POINT (796165.5248787298 10006417.707440639),170452,1704  ,17
atractivos_tur.63,63,AX004,fichas/0063.pdf,IGLESIA DE TABACUNDO,998,998,2,1,63,PICHINCHA,PEDRO MONCAYO,TABACUNDO,IGLESIA DE TABACUNDO,MANIFESTACIONES CULTURALES,ARQUITECTURA,HISTÓRICA / VERNÁCULA,III,fichas/0063.pdf,"La iglesia de Tabacundo fue construida en el año 1887 y declarada Santuario en 1987. Ubicada en el cantón Pedro Moncayo, provincia de Pichincha. La estructura externa de la iglesia es neocolonial divi","dida en tres cuerpos elaborada en piedra. La estructura interna se encuentra distribuida en forma de cruz latina, la obra que sobresale es la imagen de la Santísima Virgen de la Natividad que tiene má",s de 400 años y otras imágenes talladas en madera y policromadas pertenecientes a la Escuela Quiteña,0.049,-78.221602,img_fichas/0063.jpg,POINT (809288.0783404273 10005422.389359046),170450,1704  ,17
atractivos_tur.64,64,AX004,fichas/0064.pdf,IGLESIA CENTRAL DE TUPIGACHI,998,998,2,1,64,PICHINCHA,PEDRO MONCAYO,TUPIGACHI,IGLESIA CENTRAL DE TUPIGACHI,MANIFESTACIONES CULTURALES,ARQUITECTURA,HISTÓRICA / VERNÁCULA,II,fichas/0064.pdf,"La Iglesia de Tupigachi fue fundada el 15 de Mayo de 1947, se encuentra ubicada en el cantón Pedro Moncayo, provincia de Pichincha. La fachada principal cuenta con dos cruces, una en la parte central","y la otra en la parte superior central de la Iglesia, además posee dos vitrales, una a la derecha y otra en la izquierda. Las misas religiosas se las realizan únicamente los fines de semana.",,0.077,-78.18138,img_fichas/0064.jpg,POINT (813768.9907511042 10008521.191966837),170454,1704  ,17
atractivos_tur.65,65,AX004,fichas/0065.pdf,FIESTA DEL MAIZ Y TURISMO,998,998,2,1,65,PICHINCHA,RUMIÑAHUI,SANGOLQUÍ,FIESTA DEL MAIZ Y TURISMO,MANIFESTACIONES CULTURALES,ACERVO CULTURAL Y POPULAR,"FIESTAS RELIGIOSAS, TRADICIONES Y CREENCIAS POPULARES",III,fichas/0065.pdf,"La fiesta mayor del Cantón Rumiñahui se celebra en las parroquias aledañas y en la cabecera cantonal en la provincia de Pichincha. Turistas de Quito, de la provincia y del país acuden a presenciar las","festividades que realizan. Las actividades que se celebran son las elecciones de la Reina, pregones de fiesta, carreras de caballos, ferias gastronómicas, tradicionales toros populares, danzas cultur","ales, autos clásicos, caballos y la Procesión de los Chagras. Se realiza desde agosto a septiembre.",-0.329,-78.44841,img_fichas/0065.jpg,POINT (784017.9553424406 9963599.278443528),170550,1705  ,17
atractivos_tur.66,66,AX004,fichas/0066.pdf,MAUSOLEO JUAN DE SALINAS,998,998,2,1,66,PICHINCHA,RUMIÑAHUI,SANGOLQUÍ,MAUSOLEO JUAN DE SALINAS,MANIFESTACIONES CULTURALES,ARQUITECTURA,INFRAESTRUCTURA CULTURAL,III,fichas/0066.pdf,"La cripta del prócer Juan de Salinas, se ubica al costado de la Iglesia de Sangolquí, en el centro de la ciudad del cantón Rumiñahui, provincia de Pichincha. Aquí reposan las cenizas del hijo predilec","to de Rumiñahui. Su nombre forma parte de la historia nacional como protagonista del Primer Grito de la Independencia, el 10 de agosto de 1809. El cantón Rumiñahui y la Patria entera rinden tributo a",nuestro prócer.,-0.329,-78.44803,img_fichas/0066.jpg,POINT (784060.2813869438 9963599.267611936),170550,1705  ,17
atractivos_tur.68,68,AX004,fichas/0068.pdf,MONUMENTO AYA HUMA,998,998,2,1,68,PICHINCHA,RUMIÑAHUI,SANGOLQUÍ,MONUMENTO AYA HUMA,MANIFESTACIONES CULTURALES,ARQUITECTURA,MONUMENTOS,II,fichas/0068.pdf,"La figura ubicada en el cantón Rumiñahui, provincia de Pichincha, recrea los tres personajes de la fiesta de San pedro:","El Chaly, El Señor Tambonero y el Aya Huma. Las dos obras son del escultor y moralista Eddi Crespo.","Se encuentra ubicado en la calle Venezuela, ingreso a la parroquia San Pedro de Taboada.",-0.323,-78.457863,img_fichas/0068.jpg,POINT (782965.211037352 9964263.385528948),170550,1705  ,17
atractivos_tur.69,69,AX004,fichas/0069.pdf,PARQUE EL EJIDO,998,998,2,1,69,PICHINCHA,RUMIÑAHUI,SANGOLQUÍ,PARQUE EL EJIDO,MANIFESTACIONES CULTURALES,ARQUITECTURA,INFRAESTRUCTURA RECREATIVA,II,fichas/0069.pdf,"El Parque El Ejido se encuentra ubicado cerca del Monumento del Maíz en el cantón Rumiñahui, provincia de Pichincha, esta plaza es una de las más importantes ya que en las fiestas del chagra realizada",s en los meses de agosto y septiembre ya que es utilizada para la realización de las tres corridas de toros populares. Este parque es establecido para eventos culturales del cantón.,,-0.339,-78.437286,img_fichas/0069.jpg,POINT (785256.7111453598 9962492.545920424),170550,1705  ,17
atractivos_tur.70,70,AX004,fichas/0070.pdf,PARQUE EL TURISMO,998,998,2,1,70,PICHINCHA,RUMIÑAHUI,SANGOLQUÍ,PARQUE EL TURISMO,MANIFESTACIONES CULTURALES,ARQUITECTURA,ESPACIO PÚBLICO,II,fichas/0070.pdf,"El Parque El Ejido se encuentra ubicado cerca del Monumento del Maíz en el cantón Rumiñahui, provincia de Pichincha, esta plaza es una de las más importantes ya que en",las fiestas del chagra realizadas en los meses de agosto y septiembre ya que es utilizada para la realización de las tres corridas de toros populares. Este parque es establecido,para eventos culturales del cantón.,-0.327,-78.45041,img_fichas/0070.jpg,POINT (783795.2433016258 9963820.61609972),170550,1705  ,17
atractivos_tur.71,71,AX004,fichas/0071.pdf,TOROS POPULARES,998,998,2,1,71,PICHINCHA,RUMIÑAHUI,SANGOLQUÍ,TOROS POPULARES,MANIFESTACIONES CULTURALES,ACERVO CULTURAL Y POPULAR,"FIESTAS RELIGIOSAS, TRADICIONES Y CREENCIAS POPULARES",II,fichas/0071.pdf,"Ubicada en la parroquia de Sangolquí, cantón Rumiñahui, provincia de Pichincha, una de las organizaciones más trascendentes de toda la provincia con participación",delegaciones nacionales e internacionales. Posee un gran valor cultural ancestral debido a la tradición que ha perdurado hasta la actualidad. Se celebra en el mes de,"septiembre y es uno de los atractivos de mayor relevancia de las Fiestas del Maíz y Turismo, las más tradicionales del cantón.",-0.336,-78.43918,img_fichas/0071.jpg,POINT (785045.835235649 9962824.525706202),170550,1705  ,17
atractivos_tur.72,72,AX004,fichas/0072.pdf,CENTRO CULTURAL VILLA CARMEN,998,998,2,1,72,PICHINCHA,RUMIÑAHUI,SANGOLQUÍ,CENTRO CULTURAL VILLA CARMEN,MANIFESTACIONES CULTURALES,ARQUITECTURA,INFRAESTRUCTURA CULTURAL,III,fichas/0072.pdf,"La Hacienda Villa Carmen está destinada como centro cultural, oficinas de Misión Social del Municipio de Rumiñahui y espacio público, ubicada en el corazón del cantón a 50 m del parque central Juan de Salinas.",La acogedora construcción data a inicios del siglo XX.  La casona mantiene sus características coloniales que atraen a los visitantes; paso a ser bien inmueble del,Municipio de Rumiñahui y consta en el inventario del INPC desde el 2001.,-0.33,-78.44653,img_fichas/0072.jpg,POINT (784227.3296256955 9963488.584166227),170550,1705  ,17
atractivos_tur.81,81,AX004,fichas/0081.pdf,PLAYA LA BOTADA,998,998,2,1,81,MANABI,MANTA,SAN LORENZO,PLAYA LA BOTADA,ATRACTIVOS NATURALES,COSTAS O LITORALES,PLAYA,II,fichas/0081.pdf,"Playa la Botada, se ubica en el cantón Manta, provincia de Manabí. Tiene una extensión de 2 km, su nombre se da en mención debido a su ubicación geográfica casi","escondida, la playa ha servido para que tortugas marinas y en peligro de extinción aniden en el lugar, también es hogar de diferentes aves",como piqueros de patas azules.,-1.054,-80.905872,img_fichas/0081.jpg,POINT (510472.3341280572 9883501.041213622),130851,1308  ,13
atractivos_tur.83,83,AX004,fichas/0083.pdf,PLAYA SAN LORENZO,998,998,2,1,83,MANABI,MANTA,SAN LORENZO,PLAYA SAN LORENZO,ATRACTIVOS NATURALES,COSTAS O LITORALES,PLAYA,III,fichas/0083.pdf,"La playa de San Lorenzo se ubica en el cantón Manta, provincia Manabí. Posee una zona de reserva ecológica de aproximadamente 50 ha, está protegida para evitar","el deterioro ecológico. Se aprecian algunos acantilados a lo largo de la línea de la costa y salientes rocosas. Aquí podrá llevar buenos recuerdos, como una bella","fotografía tomada en la Cueva de San Lorenzo, formación rocosa que se erosiona con el tiempo y que simula una cueva la misma que con la pleamar se mezcla con  el paisaje marino",-1.069,-80.907297,img_fichas/0083.jpg,POINT (510313.744047747 9881843.087379651),130851,1308  ,13
atractivos_tur.84,84,AX004,fichas/0084.pdf,SENDERO EL FARO (PLAYA SAN LORENZO),998,998,2,1,84,MANABI,MANTA,SAN LORENZO,SENDERO EL FARO (PLAYA SAN LORENZO),ATRACTIVOS NATURALES,COSTAS O LITORALES,ACANTILADO,II,fichas/0084.pdf,"Ubicado a 28 kilómetros de la ciudad de Manta, perteneciente a la parroquia rural de San Lorenzo, en la provincia de Manabí, es parte del Refugio de Vida Silvestre","Marino Costero Pacoche creado en el 2008 por el Ministerio del Ambiente de Manabí. Con una altura aproximada de 133 metros sobre el nivel del mar, en el trayecto",hacia el mirador se percibe el aroma del Palosanto. Hay también árboles de barbasco y variedades de cactus.,-1.058,-80.90794,img_fichas/0084.jpg,POINT (510242.24278152984 9883058.925823621),130851,1308  ,13
atractivos_tur.93,93,AX004,fichas/0093.pdf,PLAYA SANTA MARIANITA,998,998,2,1,93,MANABI,MANTA,SANTA MARIANITA (BOCA DE PACOCHE),PLAYA SANTA MARIANITA,ATRACTIVOS NATURALES,COSTAS O LITORALES,PLAYA,III,fichas/0093.pdf,"Es una playa rural ubicada en el cantón Manta, provincia de Manabí. Ofrece un paisaje único con la tranquilidad propia del sector aislado del bullicio de la urbe,","desde la parte alta se puede observar dos elevaciones conocidas como Punta Cangrejo y Tarima. Por sus fuertes y constantes vientos, es la mejor playa del Ecuador para practicar el Kite surf.",,-0.977403,-80.840826,img_fichas/0093.jpg,POINT (517709.5440295131 9891967.076495964),130852,1308  ,13
atractivos_tur.102,102,AX004,fichas/0102.pdf,ZOOLÓGICO LOS JAGUARES,998,998,2,1,102,MORONA SANTIAGO,MORONA,GENERAL PROAÑO,ZOOLÓGICO LOS JAGUARES,MANIFESTACIONES CULTURALES,REALIZACIONES TÉCNICAS Y CIENTÍFICAS,CENTROS DE RESCATE DE FAUNA SILVESTRE,III,fichas/0102.pdf,"El Zoológico Los Jaguares, se ubica en el cantón Morona, provincia de Morona Santiago. Un excelente lugar para visitar con su familia y disfrutar el ambiente de campo, el bosque y los","animales del zoológico. En este lugar está una familia de jaguares en estado de cautiverio, cuyas crías nacieron en el sitio, con el cuidado del administrador del zoológico y técnicos especializados.",A poca distancia de Macas se puede llegar en auto o en bicicleta. Precios muy cómodos y excelente atención.,-2.252,-78.1332,img_fichas/0102.jpg,POINT (818891.9037252376 9750771.361239264),140153,1401  ,14
atractivos_tur.104,104,AX004,fichas/0104.pdf,CASCADA LAS GEMELAS,998,998,2,1,104,MORONA SANTIAGO,PALORA,16 DE AGOSTO,CASCADA LAS GEMELAS,ATRACTIVOS NATURALES,RÍOS,CASCADA,II,fichas/0104.pdf,"Las Cascadas Gemelas se ubican en el cantón Palora, provincia de Morona Santiago. Esta formación natural de dos caídas de agua tiene una altura cerca de 30 m. Se puede observar flora y","fauna representativa como: heliconias, orquídeas, helechos gigantes, palmitos, chontas, copales, matapalo, aves, boas, coral, equis, guatusos, guantas, armadillos, conejos. Se puede practicar el","trekking, la fotografía de naturaleza, observación y estudio de flora y fauna nativas.",-1.764,-77.886053,img_fichas/0104.jpg,POINT (846512.6807208289 9804734.30482131),140455,1404  ,14
atractivos_tur.112,112,AX004,fichas/0112.pdf,RÍO PALORA - TRAMO ARAPICOS,998,998,2,1,112,MORONA SANTIAGO,PALORA,ARAPICOS,RÍO PALORA - TRAMO ARAPICOS,ATRACTIVOS NATURALES,RÍOS,RÍO,III,fichas/0112.pdf,"El río Palora se ubica en el cantón Palora, provincia de Morona Santiago. Nace de los deshielos del Volcán Sangay. Se puede observar flora y fauna. La parroquia Arapicos cuenta con una tarabita","como medio de comunicación entre los cantones Palora, Pablo VI, Huamboya. El río Palora es de aguas correntonas y turbulentas, propicio para realizar deportes de aventuras como: rafting,","kayak, trekking; y actividades como: de ocio, fotografías, observación y estudio de flora y fauna.",-1.866,-77.951961,img_fichas/0112.jpg,POINT (839152.5184037597 9793456.242535148),140451,1404  ,14
atractivos_tur.113,113,AX004,fichas/0113.pdf,PARQUE ARQUEOLOGICO CATAZHO,998,998,2,1,113,MORONA SANTIAGO,LIMON INDANZA,INDAZA,PARQUE ARQUEOLOGICO CATAZHO,MANIFESTACIONES CULTURALES,ARQUITECTURA,ÁREA ARQUEOLÓGICA,II,fichas/0113.pdf,"Es el complejo de arte rupestre más grande del Ecuador, localizado en la microcuenca del río Catazho y Chinampiz, a 25 km aproximadamente de General Plaza, en el sector de San José,","recorriendo la vía Limón – Plan de Milagro –Indanza –San Miguel de Conchay. Según los  registros oficiales realizados por el Instituto de Patrimonio y Cultura(INPC), existen 123 monolitos con 884","figuras grabadas, dispersos en un área de 400 hectáreas aproximadamente,",-3.08,-78.471738,img_fichas/0113.jpg,POINT (781019.8841746374 9659230.863562686),140351,1403  ,14
atractivos_tur.114,114,AX004,fichas/0114.pdf,RÍO MORONA-TRAMO TIWINTZA,998,998,2,1,114,MORONA SANTIAGO,TIWINTZA,SAN JOSE DE MORONA,RÍO MORONA-TRAMO TIWINTZA,ATRACTIVOS NATURALES,RÍOS,RÍO,II,fichas/0114.pdf,"El Río Morona tiene un ancho de 100 metros, sus aguas son de color café oscuro. Es considerado como una fuente de alimento para las comunidades aledañas gracias a la obtención de peces; y","como un medio de transporte fluvial entre las comunidades, permitiendo la accesibilidad al Cantón Taisha a la Comunidades Tuutin Entsa. Cabe manifestar que se realiza actividades tales","como navegación en botes, interpretación ambiental, senderísmo, fotografía, otros.",-2.924,-77.724574,img_fichas/0114.jpg,POINT (864200.2853254855 9676275.855605684),141251,1412  ,14
