ID unico de usuario|Calif promedio iglesias|Calif promedio resorts|Calif promedio playas|Calif promedio parques|Calif promedio teatros|Calif promedio museos|Calif promedio centros_comerciales|Calif promedio zoologicos|Calif promedio restaurantes|Calif promedio bares_pubs|Calif promedio servicios_locales|Calif promedio pizzerias_hamburgueserias|Calif promedio hoteles_alojamientos|Calif promedio juguerias|Calif promedio galerias_arte|Calif promedio discotecas|Calif promedio piscinas|Calif promedio gimnasios|Calif promedio panaderias|Calif promedio belleza_spas|Calif promedio cafeterias|Calif promedio miradores|Calif promedio monumentos|Calif promedio jardines|provincia|canton|parroquia|nombre|desc_|desc2|desc3|lat|lon
User 14|0.0|0.54|3.66|3.67|5.0|2.93|5.0|2.32|2.3|5.0|1.65|1.64|1.65|1.27|0.76|0.62|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|PICHINCHA|DISTRITO METROPOLITANO DE QUITO|CENTRO HISTÓRICO|MONUMENTO A LA INDEPENDENCIA|El monumento de la Independencia ubicado en la Plaza Grande del cantón Quito, provincia de Pichincha, constituye el punto céntrico de la ciudad capital. El monumento es en honor a los próceres del 10|de Agosto de 1809, que impulsaron el Primer Grito de la Independencia. Visto como un elemento turístico, es visitado por nacionales y extranjeros para tomarse la foto de rigor, y los guías ofrecen una|explicación de su simbolismo.|-0.22|-78.512106
User 15|0.0|0.53|3.67|3.66|2.95|2.93|5.0|2.33|2.31|2.62|1.65|1.64|1.65|1.27|0.76|0.53|0.0|0.0|0.0|0.51|0.0|0.0|0.0|0.0|PICHINCHA|PEDRO MONCAYO|TOCACHI|IGLESIA CENTRAL DEL TOCACHI|Este santuario ubicado en el cantón Pedro Moncayo, provincia de Pichincha, fue construido en 1914, por la gestión del padre lazarista Pedro Brunning, que también diseño los planos, teniendo como  imág|enes y santos que adornan su altar, algunos de ellos fueron realizados por renombrados artistas de la Escuela Quiteña como: Caspicara y Legarda. En 1996, en las afueras de la iglesia fue construida un|a Gruta en honor a la Niña Maria, piedra que posee en alto relieve la imagen de la Virgen Santisima.|0.045|-78.288002
User 16|0.0|0.52|3.69|3.66|2.95|2.93|5.0|2.98|2.31|2.33|1.65|1.64|1.64|1.27|0.76|0.53|0.0|0.0|0.0|0.51|0.0|0.0|0.0|0.0|PICHINCHA|PEDRO MONCAYO|MALCHINGUI|IGLESIA DE MALCHINGUÍ|La Iglesia de Malchinguí, ubicada en el cantón Pedro Moncayo, provincia de Pichincha, fue construida en 1923. Probablemente, de un estilo arquitectónico Historicista, conserva en sus paredes una decoración sencilla.|En las cuales destacan las representaciones de la Vírgen María, y de San José. Es un inmueble que ha sido restaurado por la Curia del Lugar|en diferentes ocaciones, con el paso del tiempo se ha convertido en un atractivo turístico del poblado de Malchinguí|0.058|-78.339397
User 17|0.0|0.52|3.68|3.66|2.96|2.93|2.96|2.98|1.7|2.62|1.65|1.64|1.65|1.27|0.76|0.53|0.0|0.0|0.0|0.51|0.0|0.0|0.0|0.0|PICHINCHA|PEDRO MONCAYO|TABACUNDO|IGLESIA DE TABACUNDO|La iglesia de Tabacundo fue construida en el año 1887 y declarada Santuario en 1987. Ubicada en el cantón Pedro Moncayo, provincia de Pichincha. La estructura externa de la iglesia es neocolonial divi|dida en tres cuerpos elaborada en piedra. La estructura interna se encuentra distribuida en forma de cruz latina, la obra que sobresale es la imagen de la Santísima Virgen de la Natividad que tiene má|s de 400 años y otras imágenes talladas en madera y policromadas pertenecientes a la Escuela Quiteña|0.049|-78.221602
User 18|0.0|0.53|3.69|3.66|2.95|2.93|2.95|3.0|1.7|2.62|1.65|1.64|1.65|1.27|0.76|0.53|0.0|0.0|0.0|0.52|0.0|0.0|0.0|0.0|PICHINCHA|PEDRO MONCAYO|TUPIGACHI|IGLESIA CENTRAL DE TUPIGACHI|La Iglesia de Tupigachi fue fundada el 15 de Mayo de 1947, se encuentra ubicada en el cantón Pedro Moncayo, provincia de Pichincha. La fachada principal cuenta con dos cruces, una en la parte central|y la otra en la parte superior central de la Iglesia, además posee dos vitrales, una a la derecha y otra en la izquierda. Las misas religiosas se las realizan únicamente los fines de semana.|Sin información|0.077|-78.18138
User 19|0.0|0.52|5.0|3.66|2.96|2.93|2.95|2.99|1.7|2.62|1.65|1.64|1.65|1.27|0.77|0.59|0.0|0.0|0.0|0.53|0.0|0.0|0.0|0.0|PICHINCHA|RUMIÑAHUI|SANGOLQUÍ|FIESTA DEL MAIZ Y TURISMO|La fiesta mayor del Cantón Rumiñahui se celebra en las parroquias aledañas y en la cabecera cantonal en la provincia de Pichincha. Turistas de Quito, de la provincia y del país acuden a presenciar las|festividades que realizan. Las actividades que se celebran son las elecciones de la Reina, pregones de fiesta, carreras de caballos, ferias gastronómicas, tradicionales toros populares, danzas cultur|ales, autos clásicos, caballos y la Procesión de los Chagras. Se realiza desde agosto a septiembre.|-0.329|-78.44841
User 20|0.0|5.0|3.7|3.66|2.95|2.93|2.94|2.99|1.7|2.62|1.65|1.64|1.65|1.27|0.81|0.59|0.0|0.0|0.0|0.51|0.0|0.0|0.0|0.0|PICHINCHA|RUMIÑAHUI|SANGOLQUÍ|MAUSOLEO JUAN DE SALINAS|La cripta del prócer Juan de Salinas, se ubica al costado de la Iglesia de Sangolquí, en el centro de la ciudad del cantón Rumiñahui, provincia de Pichincha. Aquí reposan las cenizas del hijo predilec|to de Rumiñahui. Su nombre forma parte de la historia nacional como protagonista del Primer Grito de la Independencia, el 10 de agosto de 1809. El cantón Rumiñahui y la Patria entera rinden tributo a|nuestro prócer.|-0.329|-78.44803
User 21|0.0|0.51|5.0|3.67|2.94|2.93|2.95|2.98|1.7|2.62|1.65|1.64|1.65|1.27|0.81|0.64|0.0|0.0|0.0|0.52|0.0|0.0|0.0|0.0|PICHINCHA|RUMIÑAHUI|SANGOLQUÍ|MONUMENTO AYA HUMA|La figura ubicada en el cantón Rumiñahui, provincia de Pichincha, recrea los tres personajes de la fiesta de San pedro:|El Chaly, El Señor Tambonero y el Aya Huma. Las dos obras son del escultor y moralista Eddi Crespo.|Se encuentra ubicado en la calle Venezuela, ingreso a la parroquia San Pedro de Taboada.|-0.323|-78.457863
User 22|0.0|5.0|5.0|3.66|2.94|2.93|2.94|3.0|1.7|2.31|1.65|1.64|1.64|1.27|0.81|0.62|0.0|0.0|0.0|0.58|0.0|0.0|0.0|0.0|PICHINCHA|RUMIÑAHUI|SANGOLQUÍ|PARQUE EL EJIDO|El Parque El Ejido se encuentra ubicado cerca del Monumento del Maíz en el cantón Rumiñahui, provincia de Pichincha, esta plaza es una de las más importantes ya que en las fiestas del chagra realizada|s en los meses de agosto y septiembre ya que es utilizada para la realización de las tres corridas de toros populares. Este parque es establecido para eventos culturales del cantón.|Sin información|-0.339|-78.437286
User 23|0.0|5.0|5.0|3.66|2.95|2.93|2.94|3.0|1.7|2.31|1.65|1.64|1.64|1.27|0.91|0.62|0.0|0.0|0.0|0.5|0.0|0.0|0.0|0.0|PICHINCHA|RUMIÑAHUI|SANGOLQUÍ|PARQUE EL TURISMO|El Parque El Ejido se encuentra ubicado cerca del Monumento del Maíz en el cantón Rumiñahui, provincia de Pichincha, esta plaza es una de las más importantes ya que en|las fiestas del chagra realizadas en los meses de agosto y septiembre ya que es utilizada para la realización de las tres corridas de toros populares. Este parque es establecido|para eventos culturales del cantón.|-0.327|-78.45041
User 24|0.0|0.51|5.0|3.66|2.95|2.94|2.95|2.97|1.71|2.31|1.65|1.64|1.64|1.27|1.69|0.68|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|PICHINCHA|RUMIÑAHUI|SANGOLQUÍ|TOROS POPULARES|Ubicada en la parroquia de Sangolquí, cantón Rumiñahui, provincia de Pichincha, una de las organizaciones más trascendentes de toda la provincia con participación|delegaciones nacionales e internacionales. Posee un gran valor cultural ancestral debido a la tradición que ha perdurado hasta la actualidad. Se celebra en el mes de|septiembre y es uno de los atractivos de mayor relevancia de las Fiestas del Maíz y Turismo, las más tradicionales del cantón.|-0.336|-78.43918
User 25|0.0|0.51|0.52|3.66|2.96|2.94|2.94|2.63|1.71|2.31|1.66|1.64|1.64|1.67|1.7|0.7|0.52|0.0|0.0|0.55|0.0|0.0|0.0|0.0|PICHINCHA|RUMIÑAHUI|SANGOLQUÍ|CENTRO CULTURAL VILLA CARMEN|La Hacienda Villa Carmen está destinada como centro cultural, oficinas de Misión Social del Municipio de Rumiñahui y espacio público, ubicada en el corazón del cantón a 50 m del parque central Juan de Salinas.|La acogedora construcción data a inicios del siglo XX.  La casona mantiene sus características coloniales que atraen a los visitantes, paso a ser bien inmueble del|Municipio de Rumiñahui y consta en el inventario del INPC desde el 2001.|-0.33|-78.44653
User 26|0.0|0.52|0.52|3.66|2.95|2.94|2.94|2.96|1.71|2.31|1.66|1.64|1.64|1.66|1.76|0.69|0.53|0.0|0.0|0.0|0.0|0.0|0.0|0.0|MANABI|MANTA|SAN LORENZO|PLAYA LA BOTADA|Playa la Botada, se ubica en el cantón Manta, provincia de Manabí. Tiene una extensión de 2 km, su nombre se da en mención debido a su ubicación geográfica casi|escondida, la playa ha servido para que tortugas marinas y en peligro de extinción aniden en el lugar, también es hogar de diferentes aves|como piqueros de patas azules.|-1.054|-80.905872
User 27|0.0|0.55|0.52|3.66|2.95|2.94|2.94|2.63|1.72|2.31|1.66|1.64|1.64|1.66|1.76|0.69|0.55|0.0|0.0|0.56|0.0|0.0|0.0|0.0|MANABI|MANTA|SAN LORENZO|PLAYA SAN LORENZO|La playa de San Lorenzo se ubica en el cantón Manta, provincia Manabí. Posee una zona de reserva ecológica de aproximadamente 50 ha, está protegida para evitar|el deterioro ecológico. Se aprecian algunos acantilados a lo largo de la línea de la costa y salientes rocosas. Aquí podrá llevar buenos recuerdos, como una bella|fotografía tomada en la Cueva de San Lorenzo, formación rocosa que se erosiona con el tiempo y que simula una cueva la misma que con la pleamar se mezcla con  el paisaje marino|-1.069|-80.907297
User 28|0.0|0.51|5.0|3.67|2.95|2.94|2.94|2.63|1.71|2.31|1.66|1.64|1.64|1.66|1.76|0.69|0.55|0.0|0.0|0.5|0.0|0.0|0.0|0.0|MANABI|MANTA|SAN LORENZO|SENDERO EL FARO (PLAYA SAN LORENZO)|Ubicado a 28 kilómetros de la ciudad de Manta, perteneciente a la parroquia rural de San Lorenzo, en la provincia de Manabí, es parte del Refugio de Vida Silvestre|Marino Costero Pacoche creado en el 2008 por el Ministerio del Ambiente de Manabí. Con una altura aproximada de 133 metros sobre el nivel del mar, en el trayecto|hacia el mirador se percibe el aroma del Palosanto. Hay también árboles de barbasco y variedades de cactus.|-1.058|-80.90794
User 29|0.0|0.53|0.52|3.67|2.95|2.94|2.94|2.63|1.71|2.31|1.66|1.64|1.64|1.65|1.76|0.57|0.55|0.0|0.0|0.51|0.0|0.0|0.0|0.0|MANABI|MANTA|SANTA MARIANITA (BOCA DE PACOCHE)|PLAYA SANTA MARIANITA|Es una playa rural ubicada en el cantón Manta, provincia de Manabí. Ofrece un paisaje único con la tranquilidad propia del sector aislado del bullicio de la urbe,|desde la parte alta se puede observar dos elevaciones conocidas como Punta Cangrejo y Tarima. Por sus fuertes y constantes vientos, es la mejor playa del Ecuador para practicar el Kite surf.|Sin información|-0.977403|-80.840826
User 30|0.0|0.53|0.52|3.67|2.96|2.94|2.94|2.63|1.71|2.31|1.66|1.64|1.64|1.65|1.76|0.57|0.56|0.0|0.0|0.5|0.0|0.0|0.0|0.0|MORONA SANTIAGO|MORONA|GENERAL PROAÑO|ZOOLÓGICO LOS JAGUARES|El Zoológico Los Jaguares, se ubica en el cantón Morona, provincia de Morona Santiago. Un excelente lugar para visitar con su familia y disfrutar el ambiente de campo, el bosque y los|animales del zoológico. En este lugar está una familia de jaguares en estado de cautiverio, cuyas crías nacieron en el sitio, con el cuidado del administrador del zoológico y técnicos especializados.|A poca distancia de Macas se puede llegar en auto o en bicicleta. Precios muy cómodos y excelente atención.|-2.252|-78.1332
User 31|0.0|0.53|0.52|3.67|2.95|2.94|2.94|2.63|1.71|2.31|1.66|1.64|1.64|1.65|1.76|0.56|0.54|0.0|0.0|0.0|0.0|0.0|0.0|0.0|MORONA SANTIAGO|PALORA|16 DE AGOSTO|CASCADA LAS GEMELAS|Las Cascadas Gemelas se ubican en el cantón Palora, provincia de Morona Santiago. Esta formación natural de dos caídas de agua tiene una altura cerca de 30 m. Se puede observar flora y|fauna representativa como: heliconias, orquídeas, helechos gigantes, palmitos, chontas, copales, matapalo, aves, boas, coral, equis, guatusos, guantas, armadillos, conejos. Se puede practicar el|trekking, la fotografía de naturaleza, observación y estudio de flora y fauna nativas.|-1.764|-77.886053
User 32|0.0|0.51|0.52|3.67|2.95|2.94|2.94|2.63|1.71|2.31|1.66|1.64|1.64|1.65|1.76|0.56|0.55|0.0|0.0|0.0|0.0|0.0|0.0|0.0|MORONA SANTIAGO|PALORA|ARAPICOS|RÍO PALORA - TRAMO ARAPICOS|El río Palora se ubica en el cantón Palora, provincia de Morona Santiago. Nace de los deshielos del Volcán Sangay. Se puede observar flora y fauna. La parroquia Arapicos cuenta con una tarabita|como medio de comunicación entre los cantones Palora, Pablo VI, Huamboya. El río Palora es de aguas correntonas y turbulentas, propicio para realizar deportes de aventuras como: rafting,|kayak, trekking; y actividades como: de ocio, fotografías, observación y estudio de flora y fauna.|-1.866|-77.951961
User 33|0.0|0.51|0.53|3.67|2.95|2.94|2.94|2.96|1.71|2.31|1.66|1.64|1.63|1.65|1.75|0.68|0.54|0.0|0.0|0.54|0.0|0.0|0.0|0.0|MORONA SANTIAGO|LIMON INDANZA|INDAZA|PARQUE ARQUEOLOGICO CATAZHO|Es el complejo de arte rupestre más grande del Ecuador, localizado en la microcuenca del río Catazho y Chinampiz, a 25 km aproximadamente de General Plaza, en el sector de San José,|recorriendo la vía Limón – Plan de Milagro –Indanza –San Miguel de Conchay. Según los  registros oficiales realizados por el Instituto de Patrimonio y Cultura(INPC), existen 123 monolitos con 884|figuras grabadas, dispersos en un área de 400 hectáreas aproximadamente,|-3.08|-78.471738
User 34|0.0|0.53|0.53|3.67|2.96|2.94|2.94|2.96|1.71|2.31|1.65|1.64|1.63|1.65|1.75|0.54|0.54|0.0|0.0|0.53|0.0|0.0|0.0|0.0|MORONA SANTIAGO|TIWINTZA|SAN JOSE DE MORONA|RÍO MORONA-TRAMO TIWINTZA|El Río Morona tiene un ancho de 100 metros, sus aguas son de color café oscuro. Es considerado como una fuente de alimento para las comunidades aledañas gracias a la obtención de peces, y|como un medio de transporte fluvial entre las comunidades, permitiendo la accesibilidad al Cantón Taisha a la Comunidades Tuutin Entsa. Cabe manifestar que se realiza actividades tales|como navegación en botes, interpretación ambiental, senderísmo, fotografía, otros.|-2.924|-77.724574
User 35|0.0|0.54|0.53|3.67|2.96|2.94|2.94|3.47|1.7|2.3|1.65|1.63|1.62|1.65|1.74|0.53|0.55|0.0|0.0|0.0|0.0|0.0|0.0|0.0|MORONA SANTIAGO|MORONA|MACAS|RÍO UPANO-TRAMO MACAS|Tiene una longitud de 97 Km, su ancho varía entre 500 metros a 1km, desemboca en el rio Namangoza.   Se realiza actividades de riesgo controlado como  rafting, Kayak, tubbing es|considerado por nacional geographic como el cuarto rio mejor del mundo para el rafting  en aguas blanca.  Visitan el lugar para refrescarse en días soleados y realizar actividades recreativas,  varios|eventos suelen  realizar en días feriados por actores locales como Shows artísticos, competencias deportivas.|-2.299|-78.10597
User 36|0.0|0.54|0.54|3.68|2.96|2.94|2.94|3.05|1.7|2.3|1.65|1.62|1.62|1.64|1.78|0.53|0.53|0.0|0.0|0.54|0.0|0.0|0.0|0.0|PICHINCHA|PEDRO MONCAYO|TABACUNDO|LAGUNA MEDIANA (HUARMICOCHA)|La Laguna Mediana (Huarmicocha) se ubica en el cantón Pedro Moncayo, provincia Pichincha. Se la conoce también como lago mujer. La laguna se encuentra al sur del lago Caricocha a unos 3km|aproximadamente. Tiene una forma circular rodeada de áreas cubiertas de paja está a 3600 m de altura. Como facilidades turísticas la laguna tiene miradores senderos, áreas de acampar, baterías|sanitarias y parqueadero.|0.130451|-78.255
User 37|0.5|0.54|5.0|3.68|2.96|2.94|2.94|3.74|2.6|2.29|1.64|1.62|1.61|1.64|1.73|0.52|0.54|0.0|0.0|0.0|0.0|0.0|0.0|0.51|PICHINCHA|RUMIÑAHUI|RUMIPAMBA|BOSQUE CEDRILLOS|El Bosque los Cedrillos se ubica en el cantón Rumiñahui, provincia de Pichincha. Cuenta con un extenso paisaje de flora y fauna especialmente rodeado de cedrillos debido a eso su nombre, tiene|una distancia de aproximadamente 200 m donde el turista tendrá la oportunidad de realizar la observación de un paisaje de entorno natural.|Sin información|-0.466833|-78.424808
User 38|0.51|0.55|5.0|3.69|5.0|2.94|2.94|2.96|2.59|2.29|1.63|1.61|1.61|1.62|1.66|0.53|0.54|0.0|0.0|0.0|0.0|0.0|0.0|0.51|MORONA SANTIAGO|PABLO SEXTO|PABLO SEXTO|DIQUE RÍO TUNANTS|El Dique del Río Tunants se ubica en el cantón Pablo Sexto, provincia de Morona Santiago. El dique se haya a 57 km de la ciudad de Macas. Esta blaneario posee un tobogán, zona de baño y piscina|natural donde los turistas pueden pasar un tiempo de calidad con amigos y familia.|Sin información|-1.926|-78.03133
User 39|0.52|0.55|5.0|3.7|2.97|2.95|2.94|2.99|1.68|2.28|1.63|1.6|1.6|1.61|1.65|0.52|0.55|0.0|0.0|0.0|0.0|0.0|0.0|0.53|PICHINCHA|RUMIÑAHUI|SANGOLQUÍ|MERCADO EL TURISMO|Ubicado en el cantón Rumiñahui, provincia de Pichincha, las ferias se realizan los días jueves y domingos, en la cual se lleva a cabo la comercialización de gran variedad de productos agrícolas, ganad|eros y artesanales. Las ferias son muy concurridas. Gran parte de familias de la localidad y sus alrededores se provee de insumos semanalmente. Estas muestras de productos son pintorescas y se realiza|n incluso al aire libre.|-0.327|-78.448963
